[ 0000 ] M Titrant Add: 0.000000  |  V Titrant Add: 0.000000  |  A Moles: 0.000200  |  [A]: 0.100000  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002000  |  pH: 1.000000
[ 0022 ] M Titrant Add: 0.000129  |  V Titrant Add: 0.001294  |  A Moles: 0.000071  |  [A]: 0.021429  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003294  |  pH: 1.669007
[ 0023 ] M Titrant Add: 0.000135  |  V Titrant Add: 0.001353  |  A Moles: 0.000065  |  [A]: 0.019298  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003353  |  pH: 1.714482
[ 0024 ] M Titrant Add: 0.000141  |  V Titrant Add: 0.001412  |  A Moles: 0.000059  |  [A]: 0.017241  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003412  |  pH: 1.763428
[ 0025 ] M Titrant Add: 0.000147  |  V Titrant Add: 0.001471  |  A Moles: 0.000053  |  [A]: 0.015254  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003471  |  pH: 1.816610
[ 0026 ] M Titrant Add: 0.000153  |  V Titrant Add: 0.001529  |  A Moles: 0.000047  |  [A]: 0.013333  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003529  |  pH: 1.875061
[ 0027 ] M Titrant Add: 0.000159  |  V Titrant Add: 0.001588  |  A Moles: 0.000041  |  [A]: 0.011475  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003588  |  pH: 1.940232
[ 0028 ] M Titrant Add: 0.000165  |  V Titrant Add: 0.001647  |  A Moles: 0.000035  |  [A]: 0.009677  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003647  |  pH: 2.014240
[ 0029 ] M Titrant Add: 0.000171  |  V Titrant Add: 0.001706  |  A Moles: 0.000029  |  [A]: 0.007937  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003706  |  pH: 2.100371
[ 0030 ] M Titrant Add: 0.000176  |  V Titrant Add: 0.001765  |  A Moles: 0.000024  |  [A]: 0.006250  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003765  |  pH: 2.204120
[ 0031 ] M Titrant Add: 0.000182  |  V Titrant Add: 0.001824  |  A Moles: 0.000018  |  [A]: 0.004615  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003824  |  pH: 2.335792
[ 0032 ] M Titrant Add: 0.000188  |  V Titrant Add: 0.001882  |  A Moles: 0.000012  |  [A]: 0.003030  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003882  |  pH: 2.518514
[ 0033 ] M Titrant Add: 0.000194  |  V Titrant Add: 0.001941  |  A Moles: 0.000006  |  [A]: 0.001493  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003941  |  pH: 2.826075
[ 0034 ] M Titrant Add: 0.000200  |  V Titrant Add: 0.002000  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.004000  |  pH: 7.000000
[ 0035 ] M Titrant Add: 0.000206  |  V Titrant Add: 0.002059  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000006  |  [B]: 0.001449  |  T Volume: 0.004059  |  pH: 11.161151
[ 0036 ] M Titrant Add: 0.000212  |  V Titrant Add: 0.002118  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000012  |  [B]: 0.002857  |  T Volume: 0.004118  |  pH: 11.455932
[ 0037 ] M Titrant Add: 0.000218  |  V Titrant Add: 0.002176  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000018  |  [B]: 0.004225  |  T Volume: 0.004176  |  pH: 11.625863
[ 0038 ] M Titrant Add: 0.000224  |  V Titrant Add: 0.002235  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000024  |  [B]: 0.005556  |  T Volume: 0.004235  |  pH: 11.744727
[ 0039 ] M Titrant Add: 0.000229  |  V Titrant Add: 0.002294  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000029  |  [B]: 0.006849  |  T Volume: 0.004294  |  pH: 11.835647
[ 0040 ] M Titrant Add: 0.000235  |  V Titrant Add: 0.002353  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000035  |  [B]: 0.008108  |  T Volume: 0.004353  |  pH: 11.908920
[ 0041 ] M Titrant Add: 0.000241  |  V Titrant Add: 0.002412  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000041  |  [B]: 0.009333  |  T Volume: 0.004412  |  pH: 11.970037
[ 0042 ] M Titrant Add: 0.000247  |  V Titrant Add: 0.002471  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000047  |  [B]: 0.010526  |  T Volume: 0.004471  |  pH: 12.022276
[ 0043 ] M Titrant Add: 0.000253  |  V Titrant Add: 0.002529  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000053  |  [B]: 0.011688  |  T Volume: 0.004529  |  pH: 12.067752
[ 0044 ] M Titrant Add: 0.000259  |  V Titrant Add: 0.002588  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000059  |  [B]: 0.012821  |  T Volume: 0.004588  |  pH: 12.107905
[ 0045 ] M Titrant Add: 0.000265  |  V Titrant Add: 0.002647  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000065  |  [B]: 0.013924  |  T Volume: 0.004647  |  pH: 12.143766
[ 0046 ] M Titrant Add: 0.000271  |  V Titrant Add: 0.002706  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000071  |  [B]: 0.015000  |  T Volume: 0.004706  |  pH: 12.176091
[ 0047 ] M Titrant Add: 0.000276  |  V Titrant Add: 0.002765  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000076  |  [B]: 0.016049  |  T Volume: 0.004765  |  pH: 12.205458
[ 0048 ] M Titrant Add: 0.000282  |  V Titrant Add: 0.002824  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000082  |  [B]: 0.017073  |  T Volume: 0.004824  |  pH: 12.232314
[ 0049 ] M Titrant Add: 0.000288  |  V Titrant Add: 0.002882  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000088  |  [B]: 0.018072  |  T Volume: 0.004882  |  pH: 12.257013
[ 0050 ] M Titrant Add: 0.000294  |  V Titrant Add: 0.002941  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000094  |  [B]: 0.019048  |  T Volume: 0.004941  |  pH: 12.279841
[ 0051 ] M Titrant Add: 0.000300  |  V Titrant Add: 0.003000  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000100  |  [B]: 0.020000  |  T Volume: 0.005000  |  pH: 12.301030
[ 0052 ] M Titrant Add: 0.000306  |  V Titrant Add: 0.003059  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000106  |  [B]: 0.020930  |  T Volume: 0.005059  |  pH: 12.320774
[ 0053 ] M Titrant Add: 0.000312  |  V Titrant Add: 0.003118  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000112  |  [B]: 0.021839  |  T Volume: 0.005118  |  pH: 12.339234
[ 0054 ] M Titrant Add: 0.000318  |  V Titrant Add: 0.003176  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000118  |  [B]: 0.022727  |  T Volume: 0.005176  |  pH: 12.356547
[ 0055 ] M Titrant Add: 0.000324  |  V Titrant Add: 0.003235  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000124  |  [B]: 0.023596  |  T Volume: 0.005235  |  pH: 12.372829
[ 0056 ] M Titrant Add: 0.000329  |  V Titrant Add: 0.003294  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000129  |  [B]: 0.024444  |  T Volume: 0.005294  |  pH: 12.388180
[ 0057 ] M Titrant Add: 0.000335  |  V Titrant Add: 0.003353  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000135  |  [B]: 0.025275  |  T Volume: 0.005353  |  pH: 12.402686
[ 0058 ] M Titrant Add: 0.000341  |  V Titrant Add: 0.003412  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000141  |  [B]: 0.026087  |  T Volume: 0.005412  |  pH: 12.416423
[ 0059 ] M Titrant Add: 0.000347  |  V Titrant Add: 0.003471  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000147  |  [B]: 0.026882  |  T Volume: 0.005471  |  pH: 12.429457
[ 0060 ] M Titrant Add: 0.000353  |  V Titrant Add: 0.003529  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000153  |  [B]: 0.027660  |  T Volume: 0.005529  |  pH: 12.441845
[ 0061 ] M Titrant Add: 0.000359  |  V Titrant Add: 0.003588  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000159  |  [B]: 0.028421  |  T Volume: 0.005588  |  pH: 12.453640
[ 0062 ] M Titrant Add: 0.000365  |  V Titrant Add: 0.003647  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000165  |  [B]: 0.029167  |  T Volume: 0.005647  |  pH: 12.464887
[ 0063 ] M Titrant Add: 0.000371  |  V Titrant Add: 0.003706  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000171  |  [B]: 0.029897  |  T Volume: 0.005706  |  pH: 12.475626
[ 0064 ] M Titrant Add: 0.000376  |  V Titrant Add: 0.003765  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000176  |  [B]: 0.030612  |  T Volume: 0.005765  |  pH: 12.485895
[ 0065 ] M Titrant Add: 0.000382  |  V Titrant Add: 0.003824  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000182  |  [B]: 0.031313  |  T Volume: 0.005824  |  pH: 12.495726
[ 0066 ] M Titrant Add: 0.000388  |  V Titrant Add: 0.003882  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000188  |  [B]: 0.032000  |  T Volume: 0.005882  |  pH: 12.505150
[ 0067 ] M Titrant Add: 0.000394  |  V Titrant Add: 0.003941  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000194  |  [B]: 0.032673  |  T Volume: 0.005941  |  pH: 12.514193
[ 0068 ] M Titrant Add: 0.000400  |  V Titrant Add: 0.004000  |  A Moles: 0.000000  |  [A]: 0.000000  |  B Moles: 0.000200  |  [B]: 0.033333  |  T Volume: 0.006000  |  pH: 12.522879
